Created,Caller Postcode,Accused,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
11-May-24,LS9 ,LS9 7,Shouting,Out ofHours,Out ofHours
12-May-24,LS11 ,LS11 9,Shouting,Out ofHours,Out ofHours
12-May-24,LS27 ,LS27 0,Loud Music,Out ofHours,Out ofHours
12-May-24,LS8 ,LS8 2,Loud Music,Out ofHours,Out ofHours
12-May-24,LS2 ,LS2 9,Loud Music,Out ofHours,Out ofHours
12-May-24,LS11 ,LS11 0,Shouting,Out ofHours,Out ofHours
12-May-24,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
12-May-24,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
12-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
12-May-24,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
12-May-24,LS10 ,LS10 3,Loud Music,Out ofHours,Out ofHours
12-May-24,LS9 ,LS9 6,Shouting,Out ofHours,Out ofHours
12-May-24,LS27 ,LS27,Alarm,Out ofHours,Out ofHours
12-May-24,LS9 ,LS9 8,Alarm,Out ofHours,Out ofHours
12-May-24,LS12 ,LS12 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
12-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
12-May-24,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
12-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
12-May-24,LS4 ,LS4 2,Loud Music,Out ofHours,Out ofHours
12-May-24,LS11 ,LS11 9,DIY,Out ofHours,Out ofHours
13-May-24,LS9 ,LS9 8,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
13-May-24,LS6 ,LS6 2,Shouting,Out ofHours,Out ofHours
13-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
13-May-24,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
13-May-24,LS10 ,LS10 3,Loud Music,Out ofHours,Out ofHours
13-May-24,LS14 ,LS14 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
13-May-24,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
13-May-24,LS8 ,LS8 2,Loud Music,Out ofHours,Out ofHours
13-May-24,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
13-May-24,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
13-May-24,LS9 ,LS9 0,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
13-May-24,LS6 ,LS6 3,Dog Barking,Out ofHours,Out ofHours
13-May-24,LS10 ,LS10 2,Loud Music,Out ofHours,Out ofHours
13-May-24,LS9,Ls9 7,Loud Music,Out ofHours,Out ofHours
13-May-24,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
13-May-24,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
13-May-24,LS6,LS6 1,Party,Out ofHours,Out ofHours
13-May-24,LS9,LS9,Loud Music,Out ofHours,Out ofHours
13-May-24,LS14,LS14 2,Loud Music,Out ofHours,Out ofHours
14-May-24,LS12 ,LS12 4,Loud Music,Out ofHours,Out ofHours
14-May-24,LS11,LS11 8,Loud Music,Out ofHours,Out ofHours
14-May-24,LS11 ,LS11 7,Loud Music,Out ofHours,Out ofHours
14-May-24,LS8 ,LS8 4,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
14-May-24,LS6,LS6 3,Loud Music,Out ofHours,Out ofHours
14-May-24,LS8 ,LS8 1,Loud Music,Out ofHours,Out ofHours
14-May-24,LS6 ,LS6 3,Dog Barking,Out ofHours,Out ofHours
14-May-24,LS12 ,LS12 1,Loud Music,Out ofHours,Out ofHours
14-May-24,LS11 ,LS11,Loud Music,Out ofHours,Out ofHours
14-May-24,LS8 ,LS8 1,Loud Music,Out ofHours,Out ofHours
