Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
16/09/2024,LS14 ,LS14 2,Loud Music,Out ofHours,Out ofHours
16/09/2024,LS6 ,LS6,Party,Out ofHours,Out ofHours
16/09/2024,LS12 ,LS12 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
17/09/2024,LS9 ,LS9 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
17/09/2024,LS7 ,LS7 2,Loud Music,Out ofHours,Out ofHours
17/09/2024,LS25 ,LS25 2,Loud Music,Out ofHours,Out ofHours
17/09/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
17/09/2024,LS16 ,LS16 5,Alarm,Out ofHours,Out ofHours
17/09/2024,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
17/09/2024,LS13 ,LS13 1,Dog Barking,Out ofHours,Out ofHours
17/09/2024,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
17/09/2024,LS13 ,LS13 2,Shouting,Out ofHours,Out ofHours
17/09/2024,LS16 ,LS16 5,Loud Music,Out ofHours,Out ofHours
17/09/2024,LS8 ,LS8 1,Loud Music,Out ofHours,Out ofHours
17/09/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS4 ,LS4 2,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS2 ,LS2 9,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
18/09/2024,LS9 ,LS9 7,Shouting,Out ofHours,Out ofHours
18/09/2024,LS28 ,LS28 7,Alarm,Out ofHours,Out ofHours
18/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS26,LS26 0,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
