Created,Caller ,Noise Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq Type
08/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
08/07/2021,LS15,LS15 8,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
08/07/2021,LS14,LS14 5,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS18,LS18 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/07/2021,LS13,LS13 4,PARTY,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
08/07/2021,LS6,LS3 1,SHOUTING,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS11,LS11 0,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS10,LS10 4,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
08/07/2021,LS11,LS11 8,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 2,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS7,LS7 4,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS9,LS9 6,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS16,LS16 7,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS11,LS11 8,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS9,LS9 6,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS10,LS10 4,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS8,LS8 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/07/2021,LS8,LS8 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/07/2021,LS8,LS8 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/07/2021,LS8,LS8 5,OTHER,Out ofHours,Out ofHours
08/07/2021,LS9,LS9 6,PARTY,Out ofHours,Out ofHours
08/07/2021,LS2,LS2 8,SHOUTING,Out ofHours,Out ofHours
08/07/2021,LS8,LS8 5,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS2,LS2 8,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS2,LS2 8,PARTY,Out ofHours,Out ofHours
08/07/2021,LS9,LS9 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/07/2021,LS8,LS8 1,SHOUTING,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
08/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
08/07/2021,LS9,LS9 7,DIY,Out ofHours,Out ofHours
08/07/2021,LS10,LS10 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
