Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
12/06/2023,LS11,LS11 7,OTHER,Out ofHours,Out ofHours
12/06/2023,LS9,LS9 6,SHOUTING,Out ofHours,Out ofHours
12/06/2023,LS9,LS9 8,LOUD MUSIC,Out ofHours,Out ofHours
12/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
12/06/2023,LS10,LS10 3,SHOUTING,Out ofHours,Out ofHours
12/06/2023,LS8,LS8 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
12/06/2023,LS13,LS13 1,LOUD MUSIC,Out ofHours,Out ofHours
12/06/2023,WF3,WF3 3,DOG BARKING,Out ofHours,Out ofHours
12/06/2023,LS11,LS11 5,SHOUTING,Out ofHours,Out ofHours
12/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
12/06/2023,WF10,WF10 2,LOUD MUSIC,Out ofHours,Out ofHours
12/06/2023,LS12,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
12/06/2023,LS11,LS11 7,DOG BARKING,Out ofHours,Out ofHours
12/06/2023,LS13,LS13 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
12/06/2023,LS8,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
12/06/2023,LS10,LS10 4,ALARM,Out ofHours,Out ofHours
12/06/2023,LS6,LS6 1,OTHER,Out ofHours,Out ofHours
12/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
12/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS15,LS15 0,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS8,LS8 5,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS10,LS10 3,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS10,LS10 3,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS12,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS12,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS19,LS19 6,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS9,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS9,LS9 6,SHOUTING,Out ofHours,Out ofHours
11/06/2023,LS13,LS13 3,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS10,LS10 4,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS8,LS8 3,SHOUTING,Out ofHours,Out ofHours
11/06/2023,LS13,LS13 3,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS8,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS10,LS10 4,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS17,LS17 7,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS8,LS8 2,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS11,LS11 0,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS10,LS10 3,SHOUTING,Out ofHours,Out ofHours
11/06/2023,LS10,LS10 2,SHOUTING,Out ofHours,Out ofHours
11/06/2023,WF3,WF3 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
11/06/2023,LS9,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS11,LS11 0,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS11,LS10 2,LOUD MUSIC,Out ofHours,Out ofHours
11/06/2023,LS27,LS27 7,LOUD MUSIC,Out ofHours,Out ofHours
