Created,Caller Postcode ,Noise Type,Sr_Num ,Enq_type
15/05/2019,LS14 1,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS8 5,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS17 7,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS12 1,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
15/05/2019,LS5 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
16/05/2019,LS17 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
16/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
16/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
16/05/2019,LS8 4,OTHER,OutofHours ,OutofHours 
16/05/2019,LS8 4,OTHER,OutofHours ,OutofHours 
16/05/2019,LS13 2,PARTY,OutofHours ,OutofHours 
16/05/2019,LS11 6,SHOUTING,OutofHours ,OutofHours 
16/05/2019,LS6 1,ALARM,OutofHours ,OutofHours 
16/05/2019,LS6 1,ALARM,OutofHours ,OutofHours 
16/05/2019,LS6 1,ALARM,OutofHours ,OutofHours 
16/05/2019,LS11 5,DIY,OutofHours ,OutofHours 
16/05/2019,LS15 8,SHOUTING,OutofHours ,OutofHours 
16/05/2019,LS7 3,SHOUTING,OutofHours ,OutofHours 
16/05/2019,LS7 2,MUSIC,OutofHours ,OutofHours 
16/05/2019,LS11 6,SHOUTING,OutofHours ,OutofHours 
16/05/2019,LS10 1,OTHER,OutofHours ,OutofHours 
16/05/2019,LS9 6,MUSIC,OutofHours ,OutofHours 
16/05/2019,LS2 7,OTHER,OutofHours ,OutofHours 
16/05/2019,LS7 3,SHOUTING,OutofHours ,OutofHours 
16/05/2019,LS6 3,PARTY,OutofHours ,OutofHours 
17/05/2019,LS6 3,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS6 3,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS8 4,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
17/05/2019,LS17 6,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS6 1,PARTY,OutofHours ,OutofHours 
17/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS14 5,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS9 6,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS3 1,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS9 0,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS15 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
17/05/2019,LS4 2,PARTY,OutofHours ,OutofHours 
17/05/2019,LS11 0,MUSIC,OutofHours ,OutofHours 
17/05/2019,WF10 2,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS16 5,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS9 6,OTHER,OutofHours ,OutofHours 
17/05/2019,LS13 2,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS14 5,PARTY,OutofHours ,OutofHours 
17/05/2019,LS9 6,PARTY,OutofHours ,OutofHours 
17/05/2019,LS9 6,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS10 1,MUSIC,OutofHours ,OutofHours 
17/05/2019,LS13 2,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS27 9,OTHER,OutofHours ,OutofHours 
18/05/2019,LS14 6,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS14 5,MUSIC,OutofHours ,OutofHours 
18/05/2019,WF10 2,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS6 4,PARTY,OutofHours ,OutofHours 
18/05/2019,LS13 3,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS6 1,SHOUTING,OutofHours ,OutofHours 
18/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS16 5,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS10 3,DOG BARKING,OutofHours ,OutofHours 
18/05/2019,LS6 4,SHOUTING,OutofHours ,OutofHours 
18/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS8 2,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS11 0,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS9 7,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS6 1,PARTY,OutofHours ,OutofHours 
18/05/2019,LS11 0,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS7 2,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
18/05/2019,LS9 6,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS3 1,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS21 1,PARTY,OutofHours ,OutofHours 
18/05/2019,LS16 7,MUSIC,OutofHours ,OutofHours 
18/05/2019,LS6 3,MUSIC,OutofHours ,OutofHours 
