Created,Caller Postcode,Noise type
17/06/2017 02:46,LS8 2,MUSIC
17/06/2017 02:31,LS9 9,MUSIC
17/06/2017 02:01,LS26 9,MUSIC
17/06/2017 01:53,LS12 4,MUSIC
17/06/2017 01:33,LS6 1,SHOUTING
17/06/2017 01:30,LS4 2,MUSIC
17/06/2017 01:23,LS13 1,MUSIC
17/06/2017 01:20,LS2,MUSIC
17/06/2017 01:15,LS25 2,PARTY
17/06/2017 00:59,LS8 5,MUSIC
17/06/2017 00:55,#VALUE!,
17/06/2017 00:50,LS8 5,PARTY
17/06/2017 00:27,LS25 2,MUSIC
17/06/2017 00:13,LS25 7,SHOUTING
17/06/2017 00:09,LS25 7,OTHER
16/06/2017 23:56,LS12 3,MUSIC
16/06/2017 23:29,LS16 5,MUSIC
16/06/2017 23:20,LS27 7,MUSIC
16/06/2017 23:11,LS7 4,MUSIC
16/06/2017 23:06,#VALUE!,
16/06/2017 22:44,LS13 1,MUSIC
16/06/2017 22:33,LS11 9,MUSIC
16/06/2017 21:53,LS8 1,BANGING ON WALLS/CEILING/FLOOR
16/06/2017 21:52,LS1 6,OTHER
16/06/2017 21:49,LS8 2,MUSIC
16/06/2017 21:31,LS15 7,MUSIC
16/06/2017 20:48,LS26 0,MUSIC
16/06/2017 20:28,LS9 6,MUSIC
16/06/2017 19:16,LS14 5,MUSIC
16/06/2017 18:32,LS16 5,MUSIC
16/06/2017 04:15,LS28 6,MUSIC
16/06/2017 04:11,LS9 9,PARTY
16/06/2017 02:40,LS14 6,MUSIC
16/06/2017 02:12,LS6 2,ALARM
15/06/2017 23:42,LS9 0,MUSIC
15/06/2017 23:32,LS9 0,MUSIC
15/06/2017 23:11,LS10 4,MUSIC
15/06/2017 22:37,LS8 5,DIY
15/06/2017 22:29,LS10 3,DOG BARKING
15/06/2017 22:26,LS27 7,DOG BARKING
15/06/2017 21:51,LS14 6,MUSIC
15/06/2017 21:17,LS7 4,TV
15/06/2017 21:09,LS11 7,MUSIC
15/06/2017 20:47,LS14 1,MUSIC
15/06/2017 20:37,LS25 7,SHOUTING
15/06/2017 19:05,LS14 5,MUSIC
15/06/2017 18:35,LS13 2,MUSIC
15/06/2017 06:59,LS6 3,BUILDING SITE
15/06/2017 01:40,LS13 2,MUSIC
15/06/2017 01:34,LS9 0,MUSIC
15/06/2017 01:19,LS11 0,MUSIC
15/06/2017 01:09,LS6 1,PARTY
15/06/2017 01:02,LS6 1,PARTY
15/06/2017 00:34,LS21 2,MUSIC
15/06/2017 00:04,LS12 1,SHOUTING
14/06/2017 23:50,LS10 1,MUSIC
14/06/2017 23:44,LS16 6,BANGING ON WALLS/CEILING/FLOOR
14/06/2017 23:15,LS6 1,MUSIC
14/06/2017 22:25,LS14 1,BANGING ON WALLS/CEILING/FLOOR
14/06/2017 22:10,LS4 2,PARTY
14/06/2017 22:03,LS11 9,MUSIC
14/06/2017 21:55,LS4 2,PARTY
14/06/2017 21:31,LS11 6,MUSIC
14/06/2017 21:25,LS6 1,MUSIC
14/06/2017 21:11,LS8 1,OTHER
14/06/2017 04:36,LS6 1,PARTY
14/06/2017 03:05,LS25 7,DOG BARKING
14/06/2017 02:58,LS9 6,MUSIC
14/06/2017 01:33,LS10 4,MUSIC
14/06/2017 00:27,LS8 3,MUSIC
14/06/2017 00:17,LS9 6,ALARM
14/06/2017 00:11,LS10 4,MUSIC
14/06/2017 00:05,LS12 1,MUSIC
14/06/2017 00:00,LS8 3,OTHER
13/06/2017 23:59,LS25 7,DOG BARKING
13/06/2017 23:13,LS9 6,MUSIC
13/06/2017 22:50,LS17 9,OTHER
13/06/2017 22:05,LS8 1,BANGING ON WALLS/CEILING/FLOOR
13/06/2017 21:42,LS26 8,SHOUTING
13/06/2017 21:36,LS11 5,MUSIC
13/06/2017 21:25,LS27 9,TV
13/06/2017 20:50,LS14 5,MUSIC
13/06/2017 20:32,LS9 6,BANGING ON WALLS/CEILING/FLOOR
13/06/2017 20:28,LS11 0,MUSIC
13/06/2017 19:59,LS10 2R,PARTY
13/06/2017 19:38,LS16 6,DOG BARKING
13/06/2017 19:32,LS11 5,BANGING ON WALLS/CEILING/FLOOR
13/06/2017 19:25,LS4 2,BANGING ON WALLS/CEILING/FLOOR
13/06/2017 19:07,LS13 2,MUSIC
13/06/2017 08:42,LS26 8,MUSIC
13/06/2017 03:58,LS12 1,OTHER
13/06/2017 03:42,LS6 3,PARTY
13/06/2017 02:30,LS9 6,SHOUTING
13/06/2017 00:19,LS25 7,OTHER
12/06/2017 23:20,LS9 6,MUSIC
12/06/2017 23:15,LS2 9,MUSIC
12/06/2017 22:15,LS14 6,MUSIC
12/06/2017 21:23,LS14 6,MUSIC
12/06/2017 20:45,LS14 5,MUSIC
12/06/2017 18:45,LS12 2,ALARM
12/06/2017 18:09,LS14 1,MUSIC
12/06/2017 07:11,LS8 1,BANGING ON WALLS/CEILING/FLOOR
12/06/2017 05:46,Ls8 1,BANGING ON WALLS/CEILING/FLOOR
12/06/2017 03:10,LS8 1,BANGING ON WALLS/CEILING/FLOOR
12/06/2017 02:36,LS10 4,DOG BARKING
11/06/2017 23:56,LS12 2,MUSIC
11/06/2017 23:13,LS16 5,MUSIC
11/06/2017 22:57,LS9 9,MUSIC
11/06/2017 22:42,LS11 0,MUSIC
11/06/2017 22:37,LS12 2,ALARM
11/06/2017 21:58,LS9 6,MUSIC
11/06/2017 21:51,LS16 5,MUSIC
