Date,Occurrence,Postcode,Sr_Num,Enq_Type,,,
19/04/2013,Music,LS17 6,OutofHours,OutofHours,,,
19/04/2013,Music,LS17 6,OutofHours,OutofHours,,,
19/04/2013,Music,LS27 8,OutofHours,OutofHours,,,
19/04/2013,Music,LS28 9,OutofHours,OutofHours,,,
19/04/2013,Music,LS3 1,OutofHours,OutofHours,,,
19/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
19/04/2013,Music,LS6 1,OutofHours,OutofHours,,,
19/04/2013,Music,LS6 2,OutofHours,OutofHours,,,
19/04/2013,Music,LS27 7,OutofHours,OutofHours,,,
19/04/2013,Party,LS12 3,OutofHours,OutofHours,,,
19/04/2013,Party,LS9 7,OutofHours,OutofHours,,,
19/04/2013,Other,LS15 8,OutofHours,OutofHours,,,
19/04/2013,Other,LS16 7,OutofHours,OutofHours,,,
19/04/2013,Other,,OutofHours,OutofHours,,,
20/04/2013,Barking Dog,LS11 5,OutofHours,OutofHours,,,
20/04/2013,Barking Dog,LS14 1,OutofHours,OutofHours,,,
20/04/2013,Barking Dog,LS16 7,OutofHours,OutofHours,,,
20/04/2013,Barking Dog,LS16 7,OutofHours,OutofHours,,,
20/04/2013,Barking Dog,LS22 7,OutofHours,OutofHours,,,
20/04/2013,Barking Dog,LS25 4,OutofHours,OutofHours,,,
20/04/2013,Barking Dog,LS26 8,OutofHours,OutofHours,,,
20/04/2013,Barking Dog,LS6,OutofHours,OutofHours,,,
20/04/2013,Barking Dog,LS17 5,OutofHours,OutofHours,,,
20/04/2013,Music,LS1 2,OutofHours,OutofHours,,,
20/04/2013,Music,LS10 2,OutofHours,OutofHours,,,
20/04/2013,Music,LS10 4,OutofHours,OutofHours,,,
20/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
20/04/2013,Music,LS11 0,OutofHours,OutofHours,,,
20/04/2013,Music,LS11 6,OutofHours,OutofHours,,,
20/04/2013,Music,LS11 7,OutofHours,OutofHours,,,
20/04/2013,Music,LS11 7,OutofHours,OutofHours,,,
20/04/2013,Music,LS11 9,OutofHours,OutofHours,,,
20/04/2013,Music,LS11 9,OutofHours,OutofHours,,,
20/04/2013,Music,LS12 1,OutofHours,OutofHours,,,
20/04/2013,Music,LS12 2,OutofHours,OutofHours,,,
20/04/2013,Music,LS13 3,OutofHours,OutofHours,,,
20/04/2013,Music,LS14 1,OutofHours,OutofHours,,,
20/04/2013,Music,LS16 5,OutofHours,OutofHours,,,
20/04/2013,Music,LS16 6,OutofHours,OutofHours,,,
20/04/2013,Music,LS2 7,OutofHours,OutofHours,,,
20/04/2013,Music,LS27 0,OutofHours,OutofHours,,,
20/04/2013,Music,LS28 9,OutofHours,OutofHours,,,
