Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
10/08/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
10/08/2022,WF3 ,WF3 2,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS4 ,LS4 2,SHOUTING,Out ofHours,Out ofHours
10/08/2022,LS11 ,LS11 7,MUSIC,Out ofHours,Out ofHours
10/08/2022,LS4 ,LS4 2,SHOUTING,Out ofHours,Out ofHours
11/08/2022,LS9 ,LS9 9,SHOUTING,Out ofHours,Out ofHours
11/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
11/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
11/08/2022,LS7 ,LS7 2,MUSIC,Out ofHours,Out ofHours
11/08/2022,LS10 ,LS10 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
11/08/2022,LS13 ,LS13 2,OTHER,Out ofHours,Out ofHours
11/08/2022,LS9 ,LS9 7,SHOUTING,Out ofHours,Out ofHours
11/08/2022,LS27 ,LS27 7,MUSIC,Out ofHours,Out ofHours
11/08/2022,LS26 ,LS26 8,TV,Out ofHours,Out ofHours
11/08/2022,LS12 ,LS12 3,MUSIC,Out ofHours,Out ofHours
11/08/2022,LS12 ,LS12 1,SHOUTING,Out ofHours,Out ofHours
11/08/2022,LS10 ,LS10 4,MUSIC,Out ofHours,Out ofHours
11/08/2022,LS20 ,LS20 9,MUSIC,Out ofHours,Out ofHours
11/08/2022,LS19 ,LS19 6,DIY,Out ofHours,Out ofHours
11/08/2022,WF3 ,WF3 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
11/08/2022,LS28 ,LS28 8,TV,Out ofHours,Out ofHours
11/08/2022,LS12 ,LS12 3,SHOUTING,Out ofHours,Out ofHours
11/08/2022,LS10 ,LS10 2,SHOUTING,Out ofHours,Out ofHours
11/08/2022,LS9 ,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
11/08/2022,LS14 ,LS14 6,MUSIC,Out ofHours,Out ofHours
11/08/2022,LS9 ,LS9 8,MUSIC,Out ofHours,Out ofHours
11/08/2022,LS16 ,LS16 7,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS11 ,LS11 5,MUSIC,Out ofHours,Out ofHours
