Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
23/07/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
23/07/2024,LS187 ,LS18 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
24/07/2024,LS28 ,LS28 8,Dog Barking,Out ofHours,Out ofHours
24/07/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
24/07/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
24/07/2024,LS7 ,LS7 4,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
24/07/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
24/07/2024,LS25 ,LS25 4,Loud Music,Out ofHours,Out ofHours
24/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
24/07/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
24/07/2024,LS27 ,LS27 9,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
24/07/2024,LS18 ,LS18 4,Loud Music,Out ofHours,Out ofHours
24/07/2024,LS14 ,LS14 5,Loud Music,Out ofHours,Out ofHours
24/07/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
24/07/2024,LS6 ,LS6 2,Alarm,Out ofHours,Out ofHours
24/07/2024,LS13 ,LS13 2,TV,Out ofHours,Out ofHours
24/07/2024,LS17 ,LS17 7,Loud Music,Out ofHours,Out ofHours
25/07/2024,LS6 ,LS6 1,DIY,Out ofHours,Out ofHours
25/07/2024,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
25/07/2024,LS9 ,LS9 6,Shouting,Out ofHours,Out ofHours
25/07/2024,LS13 ,LS13 4,Dog Barking,Out ofHours,Out ofHours
25/07/2024,LS6 ,LS6 1,Alarm,Out ofHours,Out ofHours
25/07/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
25/07/2024,LS6 ,LS6 1,Alarm,Out ofHours,Out ofHours
25/07/2024,LS23 ,LS23 6,Dog Barking,Out ofHours,Out ofHours
25/07/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
25/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
25/07/2024,LS13 ,LS13 3,Loud Music,Out ofHours,Out ofHours
25/07/2024,LS10 ,LS10 3,Shouting,Out ofHours,Out ofHours
25/07/2024,LS13 ,LS13 3,Shouting,Out ofHours,Out ofHours
26/07/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
26/07/2024,LS22 ,LS22 6,Loud Music,Out ofHours,Out ofHours
26/07/2024,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
26/07/2024,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
26/07/2024,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
26/07/2024,LS7 ,LS7 1,Loud Music,Out ofHours,Out ofHours
26/07/2024,LS8 ,LS8 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
26/07/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
26/07/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
26/07/2024,LS18 ,LS18,Party,Out ofHours,Out ofHours
26/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
26/07/2024,ls6 ,LS6,Alarm,Out ofHours,Out ofHours
26/07/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
26/07/2024,LS14 ,LS14 5,Dog Barking,Out ofHours,Out ofHours
26/07/2024,LS9 ,LS9 9,Shouting,Out ofHours,Out ofHours
26/07/2024,LS14 ,LS15 6,Loud Music,Out ofHours,Out ofHours
26/07/2024,LS14 ,LS14 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
26/07/2024,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
26/07/2024,LS9 ,LS9 7,Party,Out ofHours,Out ofHours
26/07/2024,LS11 ,LS11 9,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS11 ,LS11,Dog Barking,Out ofHours,Out ofHours
27/07/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS4 ,LS4 2,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS12 ,LS12 3,Shouting,Out ofHours,Out ofHours
27/07/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS28 ,LS28 6,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS27 ,LS27,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS6 ,LS6,Party,Out ofHours,Out ofHours
27/07/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
27/07/2024,WF3 ,WF3 3,Loud Music,Out ofHours,Out ofHours
27/07/2024,WF3 ,WF3 3,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS8 ,LS8 2,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS12 ,LS12 1,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS10 ,LS10,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS26 ,LS26 8,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS10 ,LS10 4,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS4 ,LS4 2,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS11 ,LS11 6,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS12 ,LS12 4,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS9 ,LS9 7,Party,Out ofHours,Out ofHours
27/07/2024,LS17 ,LS17 8,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS12 ,LS12 1,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
27/07/2024,LS18 ,LS18 4,Loud Music,Out ofHours,Out ofHours
27/07/2024,WF3 ,WF3 2,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS28 ,LS28 5,Dog Barking,Out ofHours,Out ofHours
28/07/2024,LS10 ,LS10 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
28/07/2024,LS10 ,LS10,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS10 ,LS10 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
28/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS28 ,LS28 5,Dog Barking,Out ofHours,Out ofHours
28/07/2024,LS12 ,LS12 1,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS16 ,LS16 9,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS7 ,LS8,Loud Music,Out ofHours,Out ofHours
